,Date,Airline,Origin,Destination,DepTime,DepDelay,ArrTime,ArrDelay,AirTime,Distance,FlightNumber
196,2018-11-07,Delta Air Lines Inc.,ATL,ORD,1530.0,14.0,1644.0,13.0,92.0,606.0,1958
197,2018-11-20,Delta Air Lines Inc.,ATL,SFO,2125.0,0.0,2356.0,0.0,275.0,2139.0,2344
198,2018-11-20,Delta Air Lines Inc.,DTW,SLC,1928.0,0.0,2104.0,0.0,198.0,1481.0,2669
199,2018-11-21,Delta Air Lines Inc.,MSP,PHL,1255.0,0.0,1614.0,0.0,118.0,980.0,1154
200,2018-11-21,Delta Air Lines Inc.,DTW,MSY,2021.0,0.0,2143.0,0.0,126.0,926.0,1295
201,2018-11-21,Delta Air Lines Inc.,LGA,ATL,559.0,0.0,813.0,0.0,113.0,762.0,1447
202,2018-11-21,Delta Air Lines Inc.,ATL,CVG,1031.0,0.0,1156.0,0.0,62.0,373.0,1863
203,2018-11-21,Delta Air Lines Inc.,HNL,SEA,2205.0,0.0,559.0,0.0,322.0,2677.0,2218
204,2018-11-21,Delta Air Lines Inc.,ATL,GNV,1356.0,0.0,1458.0,0.0,48.0,300.0,2286
205,2018-11-22,Delta Air Lines Inc.,LGA,BOS,1259.0,0.0,1405.0,0.0,36.0,184.0,340
206,2018-11-22,Delta Air Lines Inc.,SAN,SLC,1010.0,0.0,1300.0,0.0,80.0,626.0,507
207,2018-11-22,Delta Air Lines Inc.,TYS,ATL,1530.0,0.0,1625.0,0.0,32.0,152.0,658
208,2018-11-22,Delta Air Lines Inc.,MIA,JFK,1547.0,7.0,1820.0,0.0,135.0,1089.0,861
209,2018-11-22,Delta Air Lines Inc.,ATL,DAY,903.0,0.0,1027.0,0.0,67.0,432.0,1521
210,2018-11-22,Delta Air Lines Inc.,LGA,ATL,1804.0,4.0,2031.0,1.0,104.0,762.0,1832
211,2018-11-26,Delta Air Lines Inc.,MSP,BOS,1035.0,40.0,1415.0,26.0,142.0,1124.0,604
212,2018-11-26,Delta Air Lines Inc.,LAX,AUS,1303.0,0.0,1750.0,0.0,148.0,1242.0,780
213,2018-11-26,Delta Air Lines Inc.,ATL,GSO,1027.0,1.0,1133.0,0.0,49.0,306.0,1048
214,2018-11-14,Comair Inc.,CLT,MKE,2222.0,7.0,2311.0,0.0,95.0,651.0,5565
215,2018-11-23,Comair Inc.,CLT,HSV,1319.0,0.0,1343.0,0.0,56.0,333.0,5566
216,2018-11-02,Comair Inc.,RIC,CLT,1942.0,0.0,2104.0,0.0,56.0,257.0,5571
217,2018-11-13,Comair Inc.,CLE,CLT,1204.0,4.0,1359.0,9.0,86.0,430.0,5572
218,2018-11-25,Comair Inc.,DAB,CLT,1742.0,0.0,1919.0,0.0,80.0,416.0,5601
219,2018-11-11,Comair Inc.,CLT,PWM,1431.0,0.0,1635.0,0.0,100.0,813.0,5602
220,2018-11-21,Comair Inc.,PWM,CLT,1810.0,0.0,2100.0,5.0,132.0,813.0,5602
221,2018-11-05,Comair Inc.,ORF,CLT,1215.0,0.0,1347.0,0.0,67.0,290.0,5610
222,2018-11-27,Comair Inc.,AVL,CLT,1901.0,0.0,1949.0,0.0,23.0,91.0,5615
223,2018-11-29,Comair Inc.,CLT,AVL,1801.0,7.0,1854.0,7.0,29.0,91.0,5615
224,2018-11-09,Comair Inc.,MSN,CLT,711.0,0.0,1049.0,15.0,112.0,708.0,5624
225,2018-11-28,Comair Inc.,CLT,MHT,937.0,0.0,1148.0,0.0,105.0,737.0,5632
226,2018-11-22,Comair Inc.,CLT,STL,733.0,0.0,822.0,0.0,89.0,575.0,5637
227,2018-11-14,Comair Inc.,CLT,FAY,1111.0,0.0,1152.0,0.0,26.0,118.0,5640
228,2018-11-12,Comair Inc.,CLT,GRR,917.0,0.0,1108.0,0.0,88.0,583.0,5641
229,2018-11-13,Comair Inc.,PHL,CAE,1048.0,0.0,1244.0,0.0,98.0,523.0,5653
230,2018-11-20,Comair Inc.,PHL,ABE,1550.0,0.0,1627.0,0.0,19.0,55.0,5657
231,2018-11-06,SkyWest Airlines Inc.,SFO,BOI,1142.0,0.0,1427.0,0.0,79.0,522.0,5328
232,2018-11-06,SkyWest Airlines Inc.,LAX,SBP,1034.0,0.0,1147.0,2.0,31.0,156.0,5509
233,2018-11-06,SkyWest Airlines Inc.,SFO,MSP,1039.0,0.0,1813.0,,,1589.0,5932
